SMILES,Name,pChEMBL,IC50_nM,NR-AhR,hERG,DILI,ClinTox,AMES,CYP1A2_Veith,CYP2D6_Veith,CYP3A4_Veith,CYP2C9_Veith,SR-ARE,SR-MMP,NR-AR,BBB_Martins,HIA_Hou
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,9.15,0.7,0.9473,0.595,0.9582,0.2348,0.4591,0.9015,0.4417,0.7386,0.43,0.924,0.9366,0.0992,0.2677,0.9975
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL434827,9.14,0.7,0.6879,0.861,0.9204,0.8199,0.6182,0.4586,0.4084,0.4126,0.1157,0.6204,0.3219,0.1005,0.5095,0.8902
CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,CHEMBL289213,9.14,0.7,0.8448,0.7386,0.9162,0.6393,0.3389,0.7089,0.4597,0.4376,0.2466,0.5565,0.3585,0.066,0.4279,0.9221
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,CHEMBL339416,9.13,0.7,0.5987,0.7532,0.3065,0.0332,0.2544,0.2857,0.234,0.2516,0.0024,0.3842,0.0604,0.1049,0.1823,0.2022
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL299622,9.12,0.8,0.9937,0.7918,0.9864,0.3233,0.7086,0.9979,0.4134,0.8821,0.1189,0.8403,0.7727,0.0339,0.6507,0.9999
C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL139095,9.12,0.8,0.8935,0.5311,0.9806,0.2991,0.1873,0.9081,0.3491,0.8017,0.3478,0.7119,0.6492,0.0406,0.3309,0.9991
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,9.11,0.8,0.9948,0.7973,0.9374,0.1793,0.8649,0.9975,0.7818,0.9651,0.1759,0.8784,0.8945,0.0695,0.642,1.0
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,CHEMBL36727,9.10,0.8,0.9906,0.8453,0.9358,0.2314,0.8638,0.9974,0.8003,0.9523,0.1319,0.8355,0.8096,0.081,0.782,1.0
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL136058,9.09,0.8,0.6171,0.8629,0.9678,0.7883,0.4811,0.1627,0.2187,0.5419,0.2521,0.6376,0.2842,0.1004,0.3805,0.9161
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL294475,9.09,0.8,0.9732,0.9478,0.9825,0.7312,0.7124,0.9684,0.3719,0.8711,0.1349,0.724,0.2673,0.041,0.7786,0.9996
